RUN	api.CombinedSimulations	combinedsimulations	1638907423554	 	3.3.1
USER	BarListSimulation	75	START	1638907452540	1638907452540
USER	FooListSimulation	76	START	1638907453039	1638907453039
USER	BarListSimulation	78	START	1638907453039	1638907453039
REQUEST	69		FooList	1638907451552	1638907453169	OK	 
USER	FooListSimulation	69	END	1638907451550	1638907453171
USER	FooListSimulation	77	START	1638907453540	1638907453540
USER	BarListSimulation	79	START	1638907453540	1638907453540
USER	BarListSimulation	82	START	1638907454040	1638907454040
USER	FooListSimulation	80	START	1638907454049	1638907454049
USER	BarListSimulation	83	START	1638907454539	1638907454539
USER	FooListSimulation	81	START	1638907454550	1638907454550
USER	FooListSimulation	84	START	1638907455040	1638907455040
USER	BarListSimulation	86	START	1638907455040	1638907455040
REQUEST	74		BarList	1638907452041	1638907455216	OK	 
USER	BarListSimulation	74	END	1638907452040	1638907455217
USER	BarListSimulation	87	START	1638907455539	1638907455539
USER	FooListSimulation	85	START	1638907455539	1638907455539
USER	FooListSimulation	88	START	1638907456039	1638907456039
USER	BarListSimulation	90	START	1638907456040	1638907456040
USER	FooListSimulation	89	START	1638907456539	1638907456539
USER	BarListSimulation	91	START	1638907456539	1638907456539
USER	BarListSimulation	94	START	1638907457040	1638907457040
USER	FooListSimulation	92	START	1638907457049	1638907457049
REQUEST	78		BarList	1638907453042	1638907457301	OK	 
USER	BarListSimulation	78	END	1638907453039	1638907457303
USER	BarListSimulation	95	START	1638907457540	1638907457540
USER	FooListSimulation	93	START	1638907457550	1638907457550
REQUEST	60		FooList	1638907449042	1638907457999	KO	responseTimeInMillis.find.lessThanOrEqual(2000), 8957 is not less than or equal to 2000
USER	FooListSimulation	60	END	1638907449040	1638907458002
USER	FooListSimulation	96	START	1638907458039	1638907458039
USER	BarListSimulation	98	START	1638907458040	1638907458040
USER	FooListSimulation	97	START	1638907458540	1638907458540
USER	BarListSimulation	99	START	1638907458540	1638907458540
REQUEST	85		FooList	1638907455541	1638907458669	KO	responseTimeInMillis.find.lessThanOrEqual(2000), 3128 is not less than or equal to 2000
USER	FooListSimulation	85	END	1638907455539	1638907458670
USER	BarListSimulation	102	START	1638907459039	1638907459039
USER	FooListSimulation	100	START	1638907459050	1638907459050
REQUEST	29		FooList	1638907441542	1638907459389	KO	responseTimeInMillis.find.lessThanOrEqual(2000), 17847 is not less than or equal to 2000
USER	FooListSimulation	29	END	1638907441539	1638907459390
USER	BarListSimulation	103	START	1638907459541	1638907459541
USER	FooListSimulation	101	START	1638907459549	1638907459549
USER	FooListSimulation	104	START	1638907460039	1638907460039
USER	BarListSimulation	106	START	1638907460039	1638907460039
USER	FooListSimulation	105	START	1638907460540	1638907460540
USER	BarListSimulation	107	START	1638907460540	1638907460540
USER	FooListSimulation	108	START	1638907461039	1638907461039
USER	BarListSimulation	110	START	1638907461041	1638907461041
REQUEST	71		BarList	1638907451551	1638907461473	KO	responseTimeInMillis.find.lessThanOrEqual(5000), 9922 is not less than or equal to 5000
USER	BarListSimulation	71	END	1638907451550	1638907461474
USER	FooListSimulation	109	START	1638907461539	1638907461539
USER	BarListSimulation	111	START	1638907461539	1638907461539
USER	BarListSimulation	114	START	1638907462049	1638907462049
USER	FooListSimulation	112	START	1638907462049	1638907462049
USER	FooListSimulation	113	START	1638907462551	1638907462551
USER	BarListSimulation	115	START	1638907462551	1638907462551
USER	FooListSimulation	116	START	1638907463039	1638907463039
USER	BarListSimulation	118	START	1638907463039	1638907463039
USER	BarListSimulation	119	START	1638907463540	1638907463540
USER	FooListSimulation	117	START	1638907463540	1638907463540
REQUEST	15		BarList	1638907437544	1638907463563	KO	responseTimeInMillis.find.lessThanOrEqual(5000), 26019 is not less than or equal to 5000
USER	BarListSimulation	15	END	1638907437543	1638907463563
USER	FooListSimulation	120	START	1638907464049	1638907464049
USER	BarListSimulation	121	START	1638907464050	1638907464050
REQUEST	120		FooList	1638907464051	1638907464228	KO	status.find.is(200), but actually found 500
USER	FooListSimulation	120	END	1638907464049	1638907464233
REQUEST	63		BarList	1638907449541	1638907465692	KO	responseTimeInMillis.find.lessThanOrEqual(5000), 16151 is not less than or equal to 5000
USER	BarListSimulation	63	END	1638907449540	1638907465694
REQUEST	17		FooList	1638907438542	1638907466352	KO	responseTimeInMillis.find.lessThanOrEqual(2000), 27810 is not less than or equal to 2000
USER	FooListSimulation	17	END	1638907438540	1638907466353
REQUEST	107		BarList	1638907460542	1638907468400	KO	responseTimeInMillis.find.lessThanOrEqual(5000), 7858 is not less than or equal to 5000
USER	BarListSimulation	107	END	1638907460540	1638907468401
REQUEST	9		FooList	1638907436551	1638907469070	KO	responseTimeInMillis.find.lessThanOrEqual(2000), 32519 is not less than or equal to 2000
USER	FooListSimulation	9	END	1638907436549	1638907469071
REQUEST	92		FooList	1638907457050	1638907469773	KO	responseTimeInMillis.find.lessThanOrEqual(2000), 12723 is not less than or equal to 2000
USER	FooListSimulation	92	END	1638907457049	1638907469774
REQUEST	98		BarList	1638907458042	1638907471849	KO	responseTimeInMillis.find.lessThanOrEqual(5000), 13807 is not less than or equal to 5000
USER	BarListSimulation	98	END	1638907458040	1638907471851
REQUEST	62		BarList	1638907449042	1638907473945	KO	responseTimeInMillis.find.lessThanOrEqual(5000), 24903 is not less than or equal to 5000
USER	BarListSimulation	62	END	1638907449040	1638907473946
REQUEST	75		BarList	1638907452541	1638907476001	KO	responseTimeInMillis.find.lessThanOrEqual(5000), 23460 is not less than or equal to 5000
USER	BarListSimulation	75	END	1638907452540	1638907476002
REQUEST	90		BarList	1638907456042	1638907478028	KO	responseTimeInMillis.find.lessThanOrEqual(5000), 21986 is not less than or equal to 5000
USER	BarListSimulation	90	END	1638907456040	1638907478029
REQUEST	95		BarList	1638907457541	1638907480046	KO	responseTimeInMillis.find.lessThanOrEqual(5000), 22505 is not less than or equal to 5000
USER	BarListSimulation	95	END	1638907457540	1638907480047
REQUEST	45		FooList	1638907445550	1638907480735	KO	responseTimeInMillis.find.lessThanOrEqual(2000), 35185 is not less than or equal to 2000
USER	FooListSimulation	45	END	1638907445549	1638907480735
REQUEST	28		FooList	1638907441041	1638907481425	KO	responseTimeInMillis.find.lessThanOrEqual(2000), 40384 is not less than or equal to 2000
USER	FooListSimulation	28	END	1638907441040	1638907481426
